Title,Upload Date,Upload Time, Views , Likes  , Comments 
The Weeknd - Less Than Zero (Official Lyric Video),09-Jan-22,6:43 AM," 16,474,935 "," 209,262 "," 5,709 "
The Weeknd - Out Of Time (Official Lyric Video),09-Jan-22,6:43 AM," 8,372,302 "," 136,626 "," 3,490 "
The Weeknd - How Do I Make You Love Me? (Official LyricVideo),09-Jan-22,6:43 AM," 4,945,835 "," 71,714 "," 1,143 "
The Weeknd - Best Friends (Official Lyric Video),09-Jan-22,6:43 AM," 3,766,032 "," 67,716 "," 1,533 "
The Weeknd - Don't Break My Heart (Official LyricVideo),09-Jan-22,6:43 AM," 3,291,245 "," 45,864 ", 713 
The Weeknd ft. Lil Wayne - I Heard You're Married (Official Lyric Video),09-Jan-22,6:43 AM," 3,494,500 "," 46,380 ", 936 
The Weeknd - Sacrifice (Official Lyric Video),09-Jan-22,6:43 AM," 2,208,012 "," 40,482 ", 790 
The Weeknd - Starry Eyes (Official Lyric Video),09-Jan-22,6:43 AM," 2,164,884 "," 45,367 "," 1,107 "
"The Weeknd ft. Tyler, The Creator - Here We Go… Again (Official Lyric Video)",09-Jan-22,6:43 AM," 2,835,575 "," 54,639 "," 1,472 "
The Weeknd - Gasoline (Official Lyric Video),09-Jan-22,6:43 AM," 2,353,117 "," 41,160 ", 923 
The Weeknd - Is There Someone Else? (Official LyricVideo),09-Jan-22,6:43 AM," 9,483,881 "," 134,097 "," 2,211 "
Dawn FM Tracklist,05-Jan-22,1:59 PM," 1,345,221 "," 110,804 "," 5,146 "
Dawn FM Trailer,03-Jan-22,2:08 PM," 1,395,254 "," 113,774 "," 6,890 "
The Weeknd - Echoes of Silence (Official Music Video),21-Dec-21,3:00 PM," 3,213,386 "," 184,540 "," 7,116 "
The Weeknd - Echoes of Silence (Behind The Scene Documentary),21-Dec-21,11:00 PM," 226,235 "," 14,805 ", 692 
#TakeMyBreath on #YouTubeShorts @youtube @youtubemusic,28-Sep-21,3:29 PM," 471,594 "," 26,228 ", 300 
The Weeknd for Dolby Atmos,12-Sep-21,11:00 PM," 782,098 "," 57,444 "," 2,183 "
The Weeknd - Can’t Feel My Face (Alternate Video),02-Sep-21,7:31 PM," 2,390,472 "," 172,596 "," 8,431 "
#TakeMyBreath 🎥 #YouTubeShorts,12-Aug-21,5:06 PM," 833,408 "," 63,720 ", 818 
Create your own version of ‘Take My Breath’ on #YouTubeShorts 🌅,10-Aug-21,11:11 PM," 901,489 "," 70,522 ", 931 
The Weeknd - Take My Breath (XO Lens),10-Aug-21,4:00 AM," 827,682 "," 61,146 "," 2,232 "
These Track Stars Will Take Your Breath Away - The Weeknd x NBC Sports for Tokyo Olympics 2020,03-Aug-21,4:42 AM," 638,028 "," 51,732 "," 2,604 "
The Dawn Is Coming (Teaser),02-Aug-21,4:49 AM," 1,512,330 "," 156,645 "," 15,455 "
The Weeknd - The Last Meal Before The Super Bowl,05-Feb-21,3:00 PM," 4,104,633 "," 219,797 "," 7,085 "
The Weeknd - Blinding Lights (iHeartRadio Jingle Ball Live Performance),15-Dec-20,3:00 AM," 5,896,780 "," 131,411 "," 4,517 "
The Weeknd - Save Your Tears (iHeartRadio Jingle Ball Live Performance),15-Dec-20,3:00 AM," 19,746,352 "," 361,442 "," 12,307 "
The Weeknd - In Your Eyes (iHeartRadio Jingle Ball Live Performance),15-Dec-20,3:00 AM," 19,178,609 "," 214,433 "," 6,642 "
The Weeknd - In Your Eyes ft Kenny G (Time100 Live Performance),25-Sep-20,11:04 PM," 4,801,361 "," 138,020 "," 5,645 "
The Weeknd - Blinding Lights (Time100 Live Performance),25-Sep-20,11:04 PM," 4,300,456 "," 174,728 "," 7,487 "
After Hours Trailer,08-Sep-20,7:00 PM," 846,144 "," 61,487 "," 3,024 "
The Weeknd Experience LIVE - Director's Cut (Trailer),12-Aug-20,8:22 PM," 322,421 "," 25,968 "," 1,279 "
The Weeknd - In Your Eyes Remix feat. Doja Cat (Audio),21-May-20,4:00 AM," 36,531,482 "," 548,623 "," 18,171 "
American Dad — The Weeknd’s Dark Secret,05-May-20,5:30 AM," 15,161,181 "," 730,803 "," 26,013 "
The Weeknd - Blinding Lights (Chromatics Remix Music Video),05-May-20,7:00 PM," 8,491,898 "," 222,411 "," 5,654 "
The Weeknd - Blinding Lights (Major Lazer Remix) [Official Audio],15-Apr-20,9:59 PM," 1,193,944 "," 33,846 "," 1,508 "
The Weeknd - Heartless (Remix) [feat. Lil Uzi Vert] Intermission,14-Apr-20,7:33 PM," 1,014,956 "," 57,580 "," 2,361 "
The Weeknd - Heartless (Remix) [feat. Lil Uzi Vert] (Official Audio),03-Apr-20,4:00 AM," 2,435,343 "," 92,105 "," 3,128 "
The Weeknd - After Hours (Audio),19-Feb-20,5:00 AM," 126,120,660 "," 1,260,326 "," 34,546 "
Afterhours - Album Title,13-Feb-20,7:24 PM," 2,355,007 "," 115,885 "," 5,592 "
The Weeknd - Blinding Lights (Official Lyric Video),06-Dec-19,4:00 AM," 11,822,443 "," 133,909 "," 4,761 "
"SZA, The Weeknd, Travis Scott - Power Is Power (Official Video)",05-May-19,3:21 PM," 38,480,953 "," 689,177 "," 18,014 "
"He Was Never There, Docupoem",09-Apr-18,4:24 PM," 3,153,734 "," 167,099 "," 8,097 "
The Weeknd - Call Out My Name (Official Lyric Video),02-Apr-18,11:29 PM," 16,504,204 "," 336,765 "," 11,150 "
The Weeknd - Privilege (Official Audio),30-Mar-18,3:05 AM," 22,470,914 "," 217,934 "," 6,241 "
The Weeknd - Hurt You feat. Gesaffelstein (Official Audio),30-Mar-18,3:05 AM," 60,855,620 "," 422,620 "," 9,113 "
The Weeknd - Try Me (Official Audio),30-Mar-18,3:07 AM," 76,382,371 "," 511,672 "," 9,799 "
The Weeknd - Wasted Times (Official Audio),30-Mar-18,3:06 AM," 56,177,343 "," 446,100 "," 9,859 "
The Weeknd - Call Out My Name (Official Audio),30-Mar-18,3:07 AM," 158,012,374 "," 1,623,643 "," 35,464 "
The Weeknd - I Was Never There feat. Gesaffelstein (Official Audio),30-Mar-18,3:06 AM," 126,102,913 "," 1,417,248 "," 17,621 "
The Weeknd - Can't Feel My Face (Martin Garrix Remix),06-Nov-15,5:00 AM," 4,780,455 "," 72,004 "," 1,742 "
The Weeknd - The Hills (RL Grime Remix),06-Nov-15,5:00 AM," 2,961,181 "," 43,428 ", 827 
The Weeknd - The Hills remix feat. Eminem ( A Virtual Reality Experience),20-Oct-15,10:31 PM," 3,871,373 "," 72,770 "," 2,648 "
Beauty Behind The Madness,30-Aug-15,3:33 AM," 311,923 "," 12,173 ", 649 
"The Weeknd ""Earned It"" (Fifty Shades Of Grey) Official Lyric Video",23-Dec-14,5:42 AM," 51,984,100 "," 350,453 "," 4,431 "
The Weeknd Backstage Warmups,29-Apr-14,1:43 AM," 3,988,927 "," 71,350 "," 4,273 "
The Weeknd x Paris,26-Apr-14,6:53 PM," 343,243 "," 4,617 ", 239 
"Drake and The Weeknd ""Would You Like A Tour"" OVO & XO",30-Mar-14,10:26 PM," 474,121 "," 8,632 ", 402 
Kiss Land - Melrose Ave. Los Angeles,17-Sep-13,9:44 PM," 190,531 "," 4,085 ", 205 
The Restaurant,15-Sep-13,10:50 PM," 195,359 "," 3,883 ", 207 
The Flower Shop,14-Sep-13,5:12 PM," 246,539 "," 6,273 ", 273 
The Airport,14-Sep-13,12:55 AM," 308,527 "," 7,707 ", 519 
The Weeknd - Live For feat. Drake (Official Video),11-Sep-13,7:50 PM," 2,821,197 "," 25,462 "," 1,494 "
The Fall Tour - 1st Show,09-Sep-13,7:25 PM," 117,317 "," 3,168 ", 316 
"Kiss Land - Wicker Park, Chicago",08-Sep-13,7:00 PM," 132,755 "," 4,819 ", 269 
Kiss Land Fall Tour 2013,07-Sep-13,2:12 AM," 136,385 "," 4,465 ", 312 
Roman Polanski,31-Aug-13,3:55 AM," 309,606 "," 6,014 ", 567 
The Weeknd - Love In The Sky,31-Jul-13,12:59 AM," 2,406,942 "," 40,000 "," 2,570 "
The Weeknd - Kiss Land (Official Video),25-Jun-13,4:41 PM," 4,379,955 "," 59,193 "," 3,828 "
The Weeknd - Kiss Land,16-May-13,11:50 PM," 10,980,931 "," 75,310 "," 8,050 "
John Carpenter,13-May-13,9:59 PM," 414,889 "," 7,736 ", 777 
The Weeknd - The Zone feat. Drake (Official Video),08-Nov-12,6:50 AM," 5,993,629 "," 36,459 "," 3,123 "
The Weeknd Trilogy - November 13,29-Oct-12,6:39 PM," 610,581 "," 7,463 ", 837 
The Weeknd Trilogy - November 13,22-Oct-12,10:28 PM," 623,287 "," 7,697 "," 1,065 "
The Weeknd Trilogy - November 13,09-Oct-12,11:35 PM," 657,945 "," 9,861 "," 1,545 "
The Weeknd x Flying Lotus @ XOYO,09-Jul-12,12:12 PM," 222,250 "," 2,636 ", 205 
The Weeknd x Club Paradise,10-May-12,6:29 AM," 513,344 "," 6,857 ", 883 
The Weeknd - The Knowing (Official Video),24-Feb-12,9:13 AM," 9,040,975 "," 85,072 "," 7,484 "
The Weeknd - The Knowing (Official Video),24-Feb-12,9:13 AM," 9,040,975 "," 85,072 "," 7,484 "
The Weeknd - Echoes Of Silence,18-Jan-12,2:41 AM," 6,388,220 "," 54,706 "," 3,023 "
The Weeknd - Next,12-Jan-12,1:44 AM," 35,972,297 "," 200,046 "," 7,197 "
The Weeknd - The Fall,09-Jan-12,6:44 AM," 6,967,585 "," 42,140 "," 2,708 "
The Weeknd - Same Old Song,06-Jan-12,6:56 AM," 12,480,535 "," 93,361 "," 4,197 "
The Weeknd - Initiation,03-Jan-12,1:45 AM," 7,858,812 "," 60,842 "," 4,071 "
The Weeknd - XO / The Host,31-Dec-11,7:26 AM," 9,540,478 "," 63,104 "," 3,920 "
The Weeknd - Outside,28-Dec-11,4:32 AM," 12,255,220 "," 67,715 "," 3,634 "
The Weeknd - Montreal,25-Dec-11,7:39 AM," 13,715,138 "," 90,744 "," 5,178 "
The Weeknd - D.D.,22-Dec-11,10:35 PM," 8,464,912 "," 86,032 "," 4,847 "
The Weeknd - The Zone (feat. Drake),20-Aug-11,10:15 PM," 28,369,372 "," 133,346 "," 7,794 "
The Weeknd - Gone,20-Aug-11,4:26 AM," 13,264,053 "," 76,635 "," 4,445 "
The Weeknd - The Birds (Part 2),19-Aug-11,9:26 PM," 10,409,804 "," 63,278 "," 4,346 "
The Weeknd - Thursday,19-Aug-11,8:27 PM," 8,811,187 "," 45,531 "," 3,611 "
The Weeknd - Lonely Star,19-Aug-11,3:07 PM," 10,223,077 "," 56,979 "," 3,671 "
The Weeknd - Life Of The Party,19-Aug-11,6:24 PM," 4,178,446 "," 25,758 "," 1,564 "
The Weeknd - Heaven Or Las Vegas,19-Aug-11,11:58 PM," 2,622,628 "," 17,876 "," 1,483 "
The Weeknd - Trust Issues (Remix),25-Jun-11,4:20 AM," 38,013,810 "," 403,996 "," 11,007 "
The Weeknd - The Birds (Part 1),16-Jun-11,1:47 AM," 13,282,952 "," 81,512 "," 3,866 "
The Weeknd - Rolling Stone,25-May-11,9:02 PM," 8,256,959 "," 53,313 "," 3,396 "
The Weeknd - Coming Down,24-Mar-11,3:13 AM," 15,823,314 "," 109,294 "," 5,312 "
The Weeknd - The Morning,21-Mar-11,1:50 AM," 56,392,353 "," 339,725 "," 12,244 "
The Weeknd - The Knowing,21-Mar-11,1:51 AM," 11,470,177 "," 67,977 "," 5,001 "
The Weeknd - Loft Music,21-Mar-11,2:43 AM," 18,791,943 "," 106,299 "," 5,660 "
The Weeknd - House Of Balloons / Glass Table Girls,21-Mar-11,1:39 AM," 29,179,907 "," 211,476 "," 11,176 "
The Weeknd - The Party & The After Party,21-Mar-11,3:45 AM," 21,063,344 "," 109,083 "," 6,893 "
The Weeknd - High For This,20-Mar-11,11:55 PM," 75,311,988 "," 450,090 "," 15,901 "
The Weeknd - Wicked Games,05-Mar-11,8:20 PM," 89,179,176 "," 478,803 "," 16,138 "
The Weeknd - What You Need,25-Feb-11,2:57 AM," 39,083,359 "," 270,364 "," 10,875 "
